smiles,ie,batch,time
O=C1CC(=O)N2CC12,14.361012674639937,1,14.260364047717303
CC1OC1C(=O)C=O,14.320936456054028,1,14.260381270665675
OC1CNC1C(=O)C=O,14.023736564655255,1,14.260392451658845
CN(CC(=O)C=O)C=O,14.022788843790572,1,14.260402580723166
COC1CC1C(=O)C=O,14.020071913821063,1,14.260412188712507
O=C1CC(=O)N2CC12,14.361012674639937,2,17.187709816731513
CC1OC1C(=O)C=O,14.320936456054028,2,17.187724214047194
O=CC(=O)C1NC1C#N,14.245894324824803,2,17.187734552659094
CC(CC=O)(C=O)C#N,14.176745225098253,2,17.18774558370933
CNC1C2OC2C1C#N,14.176553296847509,2,17.18775528203696
O=C1C2NC1C1OC21,14.489921081090529,3,20.130150134675205
OC1=NC(F)=CC(=O)O1,14.387659732150707,3,20.130166064947844
CCC1(C)C2NC2C1=O,14.387579847275012,3,20.130176544655114
O=C1NC2=C(O1)N=CO2,14.387389444569479,3,20.130187064874917
FC1=NC(=O)NC=N1,14.386777524140188,3,20.130197373684496
OC1=NC(F)=CC(=O)O1,15.331474757769456,4,22.75052260188386
FC1=NC(=O)NC=N1,15.004052041057662,4,22.750537188723683
FC1=CC(=O)OC(F)=N1,14.90235298241996,4,22.750548369716853
CC1=NC(F)=CC(=O)O1,14.898244272453052,4,22.750557898078114
OC1=NC(=O)C=C(F)O1,14.884215779661492,4,22.750567126087844
